route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_id_event
30-13183,JUNE24-D13CAR-3_Sunday,70030008201843-JUNE24,,1,0305100,300820_JUNE24,59962423-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201041-JUNE24,,1,0305200,300820_JUNE24,59962424-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008232453-JUNE24,,1,0309911,300823_JUNE24,59962425-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008201924-JUNE24,,1,0309811,300820_JUNE24,59962426-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008232353-JUNE24,,1,0309811,300823_JUNE24,59962427-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008220340-JUNE24,,0,0300100,300822_JUNE24,59962428-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008230353-JUNE24,,1,0305100,300823_JUNE24,59962429-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211935-JUNE24,,0,0309911,300821_JUNE24,59962430-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008222540-JUNE24,,0,0309911,300822_JUNE24,59962431-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008232653-JUNE24,,1,0309911,300823_JUNE24,59962432-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008211533-JUNE24,,0,0300400,300821_JUNE24,59962433-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008232553-JUNE24,,1,0309811,300823_JUNE24,59962434-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211448-JUNE24,,0,0305300,300821_JUNE24,59962435-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008222640-JUNE24,,0,0309811,300822_JUNE24,59962436-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211648-JUNE24,,0,0305400,300821_JUNE24,59962437-JUNE24-D13CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008211503-JUNE24,,0,0300300,300821_JUNE24,59962438-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D07CAR-3_Sunday,70030008211548-JUNE24,,0,0300200,300821_JUNE24,59962439-JUNE24-D07CAR-3_Sunday
30-13183,JUNE24-D13CAR-3_Sunday,70030008211518-JUNE24,,0,0305100,300821_JUNE24,59962440-JUNE24-D13CAR-3_Sunday
